Timestamp,CanId,DataBytes
1656629946.619000,7E8,04410C247CFFFFFF
1656629946.655000,7DF,02010D5555555555
1656629946.695000,7E8,03410D2DFFFFFFFF
1656629946.736000,7DF,0201105555555555
1656629946.775000,7DF,0201115555555555
1656629946.816000,7E8,0341112BFFFFFFFF
1656629946.855000,7DF,02015E5555555555
1656629946.895000,7DF,02011F5555555555
1656629946.935000,7E8,04411F00A8FFFFFF
1656629946.974000,7DF,0201055555555555
1656629947.015000,7E8,03410559FFFFFFFF
1656629947.056000,7DF,02010A5555555555
1656629947.095000,7DF,02010B5555555555
1656629947.135000,7E8,03410B1CFFFFFFFF
1656629947.175000,7DF,02010C5555555555
1656629947.215000,7E8,04410C24A0FFFFFF
1656629947.255000,7DF,02010D5555555555
1656629947.296000,7E8,03410D2DFFFFFFFF
1656629947.334000,7DF,0201105555555555
1656629947.376000,7DF,0201115555555555
1656629947.415000,7E8,0341112BFFFFFFFF
1656629947.455000,7DF,02015E5555555555
1656629947.495000,7DF,02011F5555555555
1656629947.536000,7E8,04411F00A8FFFFFF
1656629947.576000,7DF,02010A5555555555
1656629947.615000,7DF,02010B5555555555
1656629947.655000,7E8,03410B1CFFFFFFFF
1656629947.695000,7DF,02010C5555555555
1656629947.735000,7E8,04410C24B4FFFFFF
1656629947.776000,7DF,02010D5555555555
1656629947.816000,7E8,03410D2DFFFFFFFF
1656629947.855000,7DF,0201105555555555
1656629947.895000,7DF,0201115555555555
1656629947.935000,7E8,0341112BFFFFFFFF
1656629947.975000,7DF,02015E5555555555
1656629948.015000,7DF,02011F5555555555
1656629948.056000,7E8,04411F00A8FFFFFF
1656629948.096000,7DF,02010A5555555555
1656629948.134000,7DF,02010B5555555555
1656629948.175000,7E8,03410B1CFFFFFFFF
1656629948.216000,7DF,02010C5555555555
1656629948.255000,7E8,04410C24D4FFFFFF
1656629948.296000,7DF,02010D5555555555
1656629948.334000,7E8,03410D2EFFFFFFFF
1656629948.375000,7DF,0201105555555555
1656629948.416000,7DF,0201115555555555
1656629948.456000,7E8,0341112BFFFFFFFF
1656629948.495000,7DF,02015E5555555555
1656629948.535000,7DF,02011F5555555555
1656629948.576000,7E8,04411F00A9FFFFFF
1656629948.615000,7DF,02010A5555555555
1656629948.655000,7DF,02010B5555555555
1656629948.695000,7E8,03410B1CFFFFFFFF
1656629948.736000,7DF,02010C5555555555
1656629948.776000,7E8,04410C24ECFFFFFF
1656629948.815000,7DF,02010D5555555555
1656629948.855000,7E8,03410D2EFFFFFFFF
1656629948.898000,7DF,0201105555555555
1656629948.934000,7DF,0201115555555555
1656629948.975000,7E8,0341112BFFFFFFFF
